"ADMIN_DATE","MVX","Daily_Count"
2020-12-12,PFR,3
2020-12-13,PFR,2
2020-12-14,PFR,3
2020-12-15,MOD,1
2020-12-15,PFR,134
2020-12-16,PFR,1194
2020-12-17,PFR,2344
2020-12-18,PFR,3186
2020-12-19,PFR,897
2020-12-20,MOD,2
2020-12-20,PFR,408
2020-12-21,MOD,7
2020-12-21,PFR,1902
2020-12-22,MOD,95
2020-12-22,PFR,1282
2020-12-23,MOD,424
2020-12-23,PFR,1810
2020-12-24,MOD,156
2020-12-24,PFR,285
2020-12-25,MOD,1
2020-12-26,MOD,4
2020-12-26,PFR,128
2020-12-27,MOD,4
2020-12-27,PFR,16
2020-12-28,MOD,284
2020-12-28,PFR,1425
2020-12-29,MOD,1115
2020-12-29,PFR,1227
2020-12-30,JSN,1
2020-12-30,MOD,946
2020-12-30,PFR,1590
2020-12-31,MOD,756
2020-12-31,PFR,786
2021-01-01,MOD,40
2021-01-01,NVX,1
2021-01-01,PFR,26
2021-01-02,MOD,32
2021-01-02,PFR,166
2021-01-03,MOD,68
2021-01-03,PFR,94
2021-01-04,ASZ,1
2021-01-04,MOD,1035
2021-01-04,PFR,1025
2021-01-05,MOD,1162
2021-01-05,PFR,1618
2021-01-06,MOD,1644
2021-01-06,PFR,2915
2021-01-07,MOD,2373
2021-01-07,PFR,3143
2021-01-08,MOD,2241
2021-01-08,PFR,3965
2021-01-09,MOD,622
2021-01-09,PFR,1493
2021-01-10,MOD,30
2021-01-10,PFR,1226
2021-01-11,MOD,2284
2021-01-11,PFR,2920
2021-01-12,MOD,3246
2021-01-12,PFR,3259
2021-01-13,MOD,3146
2021-01-13,PFR,3571
2021-01-14,MOD,4573
2021-01-14,PFR,2506
2021-01-15,JSN,1
2021-01-15,MOD,3885
2021-01-15,PFR,3100
2021-01-16,MOD,2375
2021-01-16,PFR,1591
2021-01-17,MOD,182
2021-01-17,PFR,505
2021-01-18,MOD,744
2021-01-18,PFR,1487
2021-01-19,MOD,2660
2021-01-19,PFR,2477
2021-01-20,MOD,2459
2021-01-20,PFR,2804
2021-01-21,MOD,2900
2021-01-21,PFR,2608
2021-01-22,MOD,1387
2021-01-22,PFR,2490
2021-01-23,MOD,1409
2021-01-23,PFR,1896
2021-01-24,MOD,33
2021-01-24,PFR,72
2021-01-25,ASZ,1
2021-01-25,MOD,1184
2021-01-25,PFR,2536
2021-01-26,MOD,2347
2021-01-26,PFR,2688
2021-01-27,MOD,1918
2021-01-27,PFR,3241
2021-01-28,MOD,1973
2021-01-28,PFR,2659
2021-01-29,ASZ,1
2021-01-29,MOD,1145
2021-01-29,PFR,2828
2021-01-30,JSN,1
2021-01-30,MOD,949
2021-01-30,PFR,1640
2021-01-31,MOD,145
2021-01-31,PFR,859
2021-02-01,ASZ,1
2021-02-01,JSN,2
2021-02-01,MOD,1678
2021-02-01,PFR,1377
2021-02-02,MOD,2092
2021-02-02,PFR,2883
2021-02-03,MOD,3062
2021-02-03,PFR,3504
2021-02-04,JSN,1
2021-02-04,MOD,3251
2021-02-04,PFR,3769
2021-02-05,MOD,5313
2021-02-05,PFR,4073
2021-02-06,MOD,1648
2021-02-06,PFR,2924
2021-02-07,MOD,31
2021-02-07,PFR,1426
2021-02-08,MOD,2696
2021-02-08,PFR,1424
2021-02-09,MOD,4292
2021-02-09,PFR,3899
2021-02-10,MOD,4650
2021-02-10,PFR,2459
2021-02-11,MOD,5401
2021-02-11,PFR,4793
2021-02-12,MOD,4417
2021-02-12,PFR,5160
2021-02-13,MOD,3193
2021-02-13,PFR,4702
2021-02-14,MOD,359
2021-02-14,PFR,184
2021-02-15,MOD,1176
2021-02-15,PFR,1274
2021-02-16,JSN,1
2021-02-16,MOD,3428
2021-02-16,PFR,3888
2021-02-17,MOD,3069
2021-02-17,PFR,2935
2021-02-18,MOD,4812
2021-02-18,PFR,3172
2021-02-19,MOD,2471
2021-02-19,PFR,3050
2021-02-20,MOD,1706
2021-02-20,PFR,1407
2021-02-21,MOD,278
2021-02-21,PFR,1217
2021-02-22,JSN,1
2021-02-22,MOD,1811
2021-02-22,PFR,1487
2021-02-23,MOD,1939
2021-02-23,PFR,2026
2021-02-24,JSN,1
2021-02-24,MOD,2869
2021-02-24,PFR,2071
2021-02-25,ASZ,1
2021-02-25,MOD,2546
2021-02-25,PFR,2743
2021-02-26,MOD,1442
2021-02-26,PFR,2774
2021-02-27,MOD,1013
2021-02-27,PFR,2807
2021-02-28,MOD,444
2021-02-28,PFR,1150
2021-03-01,JSN,1
2021-03-01,MOD,1225
2021-03-01,PFR,1920
2021-03-02,JSN,1
2021-03-02,MOD,1275
2021-03-02,PFR,4390
2021-03-03,MOD,1754
2021-03-03,PFR,3886
2021-03-04,JSN,2
2021-03-04,MOD,4313
2021-03-04,PFR,5658
2021-03-05,JSN,108
2021-03-05,MOD,3833
2021-03-05,PFR,4444
2021-03-06,JSN,1
2021-03-06,MOD,2137
2021-03-06,PFR,2101
2021-03-07,ASZ,1
2021-03-07,JSN,5
2021-03-07,MOD,1532
2021-03-07,PFR,162
2021-03-08,JSN,48
2021-03-08,MOD,1878
2021-03-08,PFR,2056
2021-03-09,JSN,145
2021-03-09,MOD,2937
2021-03-09,PFR,5110
2021-03-10,JSN,34
2021-03-10,MOD,3632
2021-03-10,PFR,3181
2021-03-11,JSN,108
2021-03-11,MOD,3763
2021-03-11,PFR,2860
2021-03-12,JSN,381
2021-03-12,MOD,3282
2021-03-12,PFR,3977
2021-03-13,JSN,390
2021-03-13,MOD,3322
2021-03-13,PFR,3915
2021-03-14,JSN,18
2021-03-14,MOD,871
2021-03-14,PFR,1328
2021-03-15,JSN,272
2021-03-15,MOD,1496
2021-03-15,PFR,2069
2021-03-16,JSN,125
2021-03-16,MOD,4676
2021-03-16,PFR,2616
2021-03-17,ASZ,1
2021-03-17,JSN,473
2021-03-17,MOD,2805
2021-03-17,PFR,4901
2021-03-18,ASZ,1
2021-03-18,JSN,1201
2021-03-18,MOD,3110
2021-03-18,PFR,5262
2021-03-19,ASZ,1
2021-03-19,JSN,246
2021-03-19,MOD,2211
2021-03-19,PFR,3538
2021-03-20,JSN,395
2021-03-20,MOD,1230
2021-03-20,PFR,1680
2021-03-21,JSN,424
2021-03-21,MOD,793
2021-03-21,PFR,410
2021-03-22,JSN,411
2021-03-22,MOD,2391
2021-03-22,PFR,2207
2021-03-23,JSN,598
2021-03-23,MOD,2878
2021-03-23,PFR,3404
2021-03-24,JSN,434
2021-03-24,MOD,3271
2021-03-24,PFR,3110
2021-03-25,JSN,455
2021-03-25,MOD,2319
2021-03-25,PFR,3474
2021-03-26,JSN,413
2021-03-26,MOD,1284
2021-03-26,PFR,2923
2021-03-27,JSN,85
2021-03-27,MOD,1070
2021-03-27,PFR,1696
2021-03-28,JSN,45
2021-03-28,MOD,664
2021-03-28,PFR,548
2021-03-29,ASZ,2
2021-03-29,JSN,843
2021-03-29,MOD,793
2021-03-29,PFR,1517
2021-03-30,JSN,336
2021-03-30,MOD,1384
2021-03-30,PFR,3335
2021-03-31,JSN,834
2021-03-31,MOD,1414
2021-03-31,PFR,2532
2021-04-01,ASZ,1
2021-04-01,JSN,634
2021-04-01,MOD,3847
2021-04-01,PFR,2435
2021-04-02,JSN,418
2021-04-02,MOD,1657
2021-04-02,PFR,3525
2021-04-03,JSN,411
2021-04-03,MOD,1464
2021-04-03,PFR,3697
2021-04-04,JSN,153
2021-04-04,MOD,589
2021-04-04,PFR,131
2021-04-05,JSN,545
2021-04-05,MOD,2230
2021-04-05,PFR,2661
2021-04-06,JSN,797
2021-04-06,MOD,2206
2021-04-06,PFR,4123
2021-04-07,JSN,755
2021-04-07,MOD,2491
2021-04-07,PFR,5304
2021-04-08,JSN,902
2021-04-08,MOD,2990
2021-04-08,PFR,3724
2021-04-09,JSN,780
2021-04-09,MOD,2245
2021-04-09,PFR,3407
2021-04-10,JSN,560
2021-04-10,MOD,3409
2021-04-10,PFR,1272
2021-04-11,JSN,423
2021-04-11,MOD,861
2021-04-11,PFR,369
2021-04-12,JSN,688
2021-04-12,MOD,1002
2021-04-12,PFR,1435
2021-04-13,JSN,7
2021-04-13,MOD,3984
2021-04-13,PFR,3061
2021-04-14,MOD,1812
2021-04-14,PFR,1925
2021-04-15,MOD,2341
2021-04-15,PFR,2155
2021-04-16,ASZ,1
2021-04-16,MOD,1618
2021-04-16,PFR,1884
2021-04-17,ASZ,2
2021-04-17,MOD,1245
2021-04-17,PFR,1981
2021-04-18,MOD,635
2021-04-18,PFR,523
2021-04-19,ASZ,1
2021-04-19,MOD,1898
2021-04-19,PFR,916
2021-04-20,JSN,2
2021-04-20,MOD,1601
2021-04-20,PFR,1627
2021-04-21,MOD,2100
2021-04-21,PFR,1360
2021-04-22,ASZ,1
2021-04-22,MOD,1387
2021-04-22,PFR,1177
2021-04-23,MOD,878
2021-04-23,PFR,1431
2021-04-24,JSN,50
2021-04-24,MOD,1069
2021-04-24,PFR,711
2021-04-25,JSN,22
2021-04-25,MOD,455
2021-04-25,PFR,151
2021-04-26,JSN,74
2021-04-26,MOD,713
2021-04-26,PFR,1352
2021-04-27,JSN,122
2021-04-27,MOD,947
2021-04-27,PFR,2373
2021-04-28,JSN,187
2021-04-28,MOD,876
2021-04-28,PFR,1112
2021-04-29,JSN,144
2021-04-29,MOD,841
2021-04-29,PFR,915
2021-04-30,JSN,180
2021-04-30,MOD,958
2021-04-30,PFR,1680
2021-05-01,JSN,85
2021-05-01,MOD,559
2021-05-01,PFR,443
2021-05-02,JSN,37
2021-05-02,MOD,208
2021-05-02,PFR,181
2021-05-03,JSN,127
2021-05-03,MOD,572
2021-05-03,PFR,578
2021-05-04,JSN,305
2021-05-04,MOD,766
2021-05-04,PFR,1573
2021-05-05,JSN,129
2021-05-05,MOD,692
2021-05-05,PFR,757
2021-05-06,JSN,334
2021-05-06,MOD,633
2021-05-06,PFR,679
2021-05-07,JSN,385
2021-05-07,MOD,880
2021-05-07,PFR,1191
2021-05-08,JSN,193
2021-05-08,MOD,545
2021-05-08,PFR,893
2021-05-09,JSN,51
2021-05-09,MOD,340
2021-05-09,PFR,192
2021-05-10,JSN,161
2021-05-10,MOD,559
2021-05-10,PFR,566
2021-05-11,JSN,242
2021-05-11,MOD,821
2021-05-11,PFR,1267
2021-05-12,JSN,192
2021-05-12,MOD,843
2021-05-12,PFR,930
2021-05-13,JSN,195
2021-05-13,MOD,771
2021-05-13,PFR,2128
2021-05-14,JSN,378
2021-05-14,MOD,782
2021-05-14,PFR,2767
2021-05-15,ASZ,1
2021-05-15,JSN,191
2021-05-15,MOD,472
2021-05-15,PFR,1494
2021-05-16,JSN,74
2021-05-16,MOD,235
2021-05-16,PFR,644
2021-05-17,ASZ,2
2021-05-17,JSN,235
2021-05-17,MOD,577
2021-05-17,PFR,1585
2021-05-18,JSN,345
2021-05-18,MOD,691
2021-05-18,PFR,1636
2021-05-19,JSN,206
2021-05-19,MOD,637
2021-05-19,PFR,1223
2021-05-20,JSN,424
2021-05-20,MOD,476
2021-05-20,PFR,1162
2021-05-21,ASZ,2
2021-05-21,JSN,322
2021-05-21,MOD,589
2021-05-21,PFR,1427
2021-05-22,JSN,148
2021-05-22,MOD,227
2021-05-22,PFR,873
2021-05-23,JSN,96
2021-05-23,MOD,124
2021-05-23,PFR,279
2021-05-24,JSN,318
2021-05-24,MOD,408
2021-05-24,PFR,849
2021-05-25,JSN,313
2021-05-25,MOD,464
2021-05-25,PFR,1341
2021-05-26,JSN,234
2021-05-26,MOD,632
2021-05-26,PFR,980
2021-05-27,JSN,263
2021-05-27,MOD,412
2021-05-27,PFR,859
2021-05-28,JSN,197
2021-05-28,MOD,555
2021-05-28,PFR,1066
2021-05-29,ASZ,1
2021-05-29,JSN,117
2021-05-29,MOD,195
2021-05-29,PFR,386
2021-05-30,JSN,154
2021-05-30,MOD,94
2021-05-30,PFR,191
2021-05-31,JSN,47
2021-05-31,MOD,153
2021-05-31,PFR,150
2021-06-01,JSN,217
2021-06-01,MOD,389
2021-06-01,PFR,1073
2021-06-02,JSN,197
2021-06-02,MOD,408
2021-06-02,PFR,1048
2021-06-03,JSN,198
2021-06-03,MOD,336
2021-06-03,PFR,1612
2021-06-04,ASZ,1
2021-06-04,JSN,253
2021-06-04,MOD,511
2021-06-04,PFR,2343
2021-06-05,JSN,121
2021-06-05,MOD,173
2021-06-05,PFR,1212
2021-06-06,JSN,50
2021-06-06,MOD,106
2021-06-06,PFR,364
2021-06-07,JSN,275
2021-06-07,MOD,311
2021-06-07,PFR,1627
2021-06-08,JSN,187
2021-06-08,MOD,247
2021-06-08,PFR,1578
2021-06-09,JSN,170
2021-06-09,MOD,350
2021-06-09,PFR,1110
2021-06-10,ASZ,1
2021-06-10,JSN,198
2021-06-10,MOD,288
2021-06-10,PFR,1458
2021-06-11,JSN,236
2021-06-11,MOD,550
2021-06-11,PFR,1382
2021-06-12,ASZ,2
2021-06-12,JSN,159
2021-06-12,MOD,115
2021-06-12,PFR,742
2021-06-13,JSN,65
2021-06-13,MOD,99
2021-06-13,PFR,216
2021-06-14,JSN,132
2021-06-14,MOD,292
2021-06-14,PFR,1039
2021-06-15,JSN,165
2021-06-15,MOD,305
2021-06-15,PFR,991
2021-06-16,JSN,175
2021-06-16,MOD,373
2021-06-16,PFR,928
2021-06-17,JSN,177
2021-06-17,MOD,276
2021-06-17,PFR,893
2021-06-18,JSN,127
2021-06-18,MOD,274
2021-06-18,PFR,1035
2021-06-19,JSN,72
2021-06-19,MOD,109
2021-06-19,PFR,417
2021-06-20,JSN,79
2021-06-20,MOD,85
2021-06-20,PFR,199
2021-06-21,JSN,143
2021-06-21,MOD,227
2021-06-21,PFR,544
2021-06-22,JSN,184
2021-06-22,MOD,256
2021-06-22,PFR,873
2021-06-23,JSN,122
2021-06-23,MOD,212
2021-06-23,PFR,829
2021-06-24,JSN,98
2021-06-24,MOD,193
2021-06-24,PFR,723
2021-06-25,ASZ,1
2021-06-25,JSN,165
2021-06-25,MOD,301
2021-06-25,PFR,916
2021-06-26,JSN,68
2021-06-26,MOD,109
2021-06-26,PFR,328
2021-06-27,JSN,51
2021-06-27,MOD,75
2021-06-27,PFR,190
2021-06-28,JSN,124
2021-06-28,MOD,142
2021-06-28,PFR,611
2021-06-29,JSN,107
2021-06-29,MOD,199
2021-06-29,PFR,687
2021-06-30,JSN,122
2021-06-30,MOD,195
2021-06-30,PFR,658
2021-07-01,ASZ,1
2021-07-01,JSN,99
2021-07-01,MOD,165
2021-07-01,PFR,673
2021-07-02,ASZ,1
2021-07-02,JSN,93
2021-07-02,MOD,230
2021-07-02,PFR,639
2021-07-03,JSN,45
2021-07-03,MOD,70
2021-07-03,PFR,217
2021-07-04,JSN,34
2021-07-04,MOD,32
2021-07-04,PFR,46
2021-07-05,JSN,55
2021-07-05,MOD,121
2021-07-05,PFR,247
2021-07-06,JSN,82
2021-07-06,MOD,127
2021-07-06,PFR,593
2021-07-07,JSN,91
2021-07-07,MOD,163
2021-07-07,PFR,587
2021-07-08,JSN,116
2021-07-08,MOD,196
2021-07-08,PFR,613
2021-07-09,JSN,153
2021-07-09,MOD,281
2021-07-09,PFR,656
2021-07-10,JSN,25
2021-07-10,MOD,64
2021-07-10,PFR,345
2021-07-11,JSN,22
2021-07-11,MOD,69
2021-07-11,PFR,135
2021-07-12,JSN,116
2021-07-12,MOD,174
2021-07-12,PFR,507
2021-07-13,JSN,98
2021-07-13,MOD,145
2021-07-13,PFR,469
2021-07-14,JSN,77
2021-07-14,MOD,171
2021-07-14,PFR,562
2021-07-15,JSN,72
2021-07-15,MOD,159
2021-07-15,PFR,688
2021-07-16,ASZ,1
2021-07-16,JSN,95
2021-07-16,MOD,222
2021-07-16,PFR,702
2021-07-17,JSN,36
2021-07-17,MOD,77
2021-07-17,PFR,320
2021-07-18,JSN,12
2021-07-18,MOD,47
2021-07-18,PFR,177
2021-07-19,JSN,79
2021-07-19,MOD,227
2021-07-19,PFR,539
2021-07-20,ASZ,1
2021-07-20,JSN,98
2021-07-20,MOD,190
2021-07-20,PFR,539
2021-07-21,JSN,132
2021-07-21,MOD,195
2021-07-21,PFR,652
2021-07-22,ASZ,1
2021-07-22,JSN,87
2021-07-22,MOD,235
2021-07-22,PFR,623
2021-07-23,JSN,141
2021-07-23,MOD,323
2021-07-23,PFR,813
2021-07-24,JSN,16
2021-07-24,MOD,107
2021-07-24,PFR,362
2021-07-25,JSN,15
2021-07-25,MOD,86
2021-07-25,PFR,187
2021-07-26,JSN,100
2021-07-26,MOD,223
2021-07-26,PFR,529
2021-07-27,JSN,123
2021-07-27,MOD,187
2021-07-27,PFR,641
2021-07-28,ASZ,1
2021-07-28,JSN,106
2021-07-28,MOD,243
2021-07-28,PFR,758
2021-07-29,JSN,97
2021-07-29,MOD,194
2021-07-29,PFR,771
2021-07-30,JSN,159
2021-07-30,MOD,332
2021-07-30,PFR,895
2021-07-31,JSN,42
2021-07-31,MOD,95
2021-07-31,PFR,399
2021-08-01,JSN,18
2021-08-01,MOD,65
2021-08-01,PFR,199
2021-08-02,JSN,104
2021-08-02,MOD,196
2021-08-02,PFR,647
2021-08-03,JSN,127
2021-08-03,MOD,190
2021-08-03,PFR,668
2021-08-04,JSN,90
2021-08-04,MOD,226
2021-08-04,PFR,747
2021-08-05,JSN,97
2021-08-05,MOD,259
2021-08-05,PFR,781
2021-08-06,ASZ,1
2021-08-06,JSN,82
2021-08-06,MOD,290
2021-08-06,PFR,862
2021-08-07,JSN,74
2021-08-07,MOD,117
2021-08-07,PFR,430
2021-08-08,JSN,11
2021-08-08,MOD,107
2021-08-08,PFR,254
2021-08-09,ASZ,1
2021-08-09,JSN,79
2021-08-09,MOD,212
2021-08-09,PFR,756
2021-08-10,ASZ,1
2021-08-10,JSN,88
2021-08-10,MOD,211
2021-08-10,PFR,759
2021-08-11,JSN,87
2021-08-11,MOD,264
2021-08-11,PFR,797
2021-08-12,JSN,115
2021-08-12,MOD,234
2021-08-12,PFR,873
2021-08-13,JSN,95
2021-08-13,MOD,353
2021-08-13,PFR,1047
2021-08-14,JSN,21
2021-08-14,MOD,144
2021-08-14,PFR,553
2021-08-15,JSN,8
2021-08-15,MOD,98
2021-08-15,PFR,257
2021-08-16,JSN,78
2021-08-16,MOD,279
2021-08-16,PFR,868
2021-08-17,JSN,79
2021-08-17,MOD,330
2021-08-17,PFR,863
2021-08-18,JSN,56
2021-08-18,MOD,407
2021-08-18,PFR,971
2021-08-19,ASZ,1
2021-08-19,JSN,82
2021-08-19,MOD,417
2021-08-19,PFR,906
2021-08-20,JSN,131
2021-08-20,MOD,549
2021-08-20,PFR,1229
2021-08-21,JSN,27
2021-08-21,MOD,150
2021-08-21,PFR,609
2021-08-22,JSN,10
2021-08-22,MOD,110
2021-08-22,PFR,320
2021-08-23,JSN,101
2021-08-23,MOD,353
2021-08-23,PFR,1058
2021-08-24,JSN,120
2021-08-24,MOD,335
2021-08-24,PFR,1007
2021-08-25,JSN,80
2021-08-25,MOD,431
2021-08-25,PFR,1213
2021-08-26,JSN,116
2021-08-26,MOD,446
2021-08-26,PFR,1365
2021-08-27,JSN,122
2021-08-27,MOD,544
2021-08-27,PFR,1391
2021-08-28,JSN,30
2021-08-28,MOD,147
2021-08-28,PFR,605
2021-08-29,JSN,11
2021-08-29,MOD,108
2021-08-29,PFR,339
2021-08-30,JSN,59
2021-08-30,MOD,386
2021-08-30,PFR,1026
2021-08-31,JSN,102
2021-08-31,MOD,458
2021-08-31,PFR,995
2021-09-01,JSN,79
2021-09-01,MOD,389
